# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0175012         	1.6542346025e+05
0.0175026         	1.6542297355e+05
0.0175044         	1.6542281479e+05
0.0175064         	1.6542275081e+05
0.0175089         	1.6542268628e+05
0.0175119         	1.6542256959e+05
0.0175155         	1.6542234358e+05
0.0175198         	1.6542193895e+05
0.017525          	1.6542124600e+05
0.0175312         	1.6542010789e+05
0.0175386         	1.6541830868e+05
0.0175475         	1.6541495251e+05
0.0175582         	1.6540956444e+05
0.0175711         	1.6540095571e+05
0.0175865         	1.6538728487e+05
0.0176049         	1.6536576150e+05
0.0176271         	1.6533242947e+05
0.0176537         	1.6528281070e+05
0.0176859         	1.6521328362e+05
0.0177244         	1.6512445300e+05
0.01777           	1.6502051767e+05
0.0178218         	1.6490639710e+05
0.0178749         	1.6479367963e+05
0.0179255         	1.6468955362e+05
0.0179738         	1.6459281916e+05
0.0180198         	1.6450159212e+05
0.0180648         	1.6441231497e+05
0.0181088         	1.6432424271e+05
0.0181528         	1.6423556430e+05
0.0181968         	1.6414621616e+05
0.0182397         	1.6405762235e+05
0.0182826         	1.6396684139e+05
0.0183256         	1.6387352761e+05
0.0183685         	1.6377823417e+05
0.0184103         	1.6368318287e+05
0.0184522         	1.6358563875e+05
0.018494          	1.6348556649e+05
0.0185358         	1.6338238254e+05
0.0185765         	1.6327931618e+05
0.0186172         	1.6317297193e+05
0.0186579         	1.6306320416e+05
0.0186985         	1.6295009701e+05
0.0187392         	1.6283379269e+05
0.0187799         	1.6271403077e+05
0.0188205         	1.6259073245e+05
0.0188612         	1.6246408869e+05
0.0189005         	1.6233877228e+05
0.0189397         	1.6221013577e+05
0.018979          	1.6207821087e+05
0.0190183         	1.6194302940e+05
0.0190576         	1.6180465103e+05
0.0190968         	1.6166286937e+05
0.0191361         	1.6151762039e+05
0.0191754         	1.6136924091e+05
0.0192146         	1.6121744975e+05
0.0192539         	1.6106254156e+05
0.0192932         	1.6090436091e+05
0.0193324         	1.6074291539e+05
0.0193717         	1.6057808461e+05
0.019411          	1.6040994823e+05
0.0194502         	1.6023837440e+05
0.0194895         	1.6006347182e+05
0.0195288         	1.5988533184e+05
0.019568          	1.5970603751e+05
0.0196073         	1.5953278084e+05
0.0196466         	1.5937624137e+05
0.0196859         	1.5924329092e+05
0.0197251         	1.5913247725e+05
0.0197644         	1.5903553457e+05
0.0198037         	1.5894675786e+05
0.0198429         	1.5886283383e+05
0.0198822         	1.5878232426e+05
0.0199215         	1.5870542873e+05
0.0199607         	1.5863233991e+05
0.02              	1.5856276021e+05
0.0200424         	1.5849094394e+05
0.0200847         	1.5842428008e+05
0.0201271         	1.5836376024e+05
0.0201695         	1.5831000715e+05
0.0202119         	1.5826408227e+05
0.0202542         	1.5822703810e+05
0.0202966         	1.5819973241e+05
0.020339          	1.5818351720e+05
0.0203822         	1.5817894489e+05
0.0204254         	1.5818742055e+05
0.0204686         	1.5820980773e+05
0.0205119         	1.5824692243e+05
0.0205551         	1.5829942810e+05
0.0205983         	1.5836800194e+05
0.0206415         	1.5845314769e+05
0.0206847         	1.5855556885e+05
0.020728          	1.5867608351e+05
0.0207723         	1.5881844424e+05
0.0208166         	1.5897968525e+05
0.0208609         	1.5915933152e+05
0.0209052         	1.5935714713e+05
0.0209495         	1.5957330436e+05
0.0209938         	1.5980822316e+05
0.0210381         	1.6006176142e+05
0.0210824         	1.6033409306e+05
0.0211267         	1.6062657717e+05
0.0211725         	1.6095164776e+05
0.0212182         	1.6130262924e+05
0.021264          	1.6167666152e+05
0.0213098         	1.6207254544e+05
0.0213556         	1.6248959583e+05
0.0214013         	1.6292634492e+05
0.0214471         	1.6338422123e+05
0.0214929         	1.6386026646e+05
0.0215387         	1.6435997801e+05
0.0215844         	1.6488544636e+05
0.0216302         	1.6543464421e+05
0.021676          	1.6600515472e+05
0.0217218         	1.6658890742e+05
0.0217676         	1.6719089792e+05
0.0218133         	1.6781125086e+05
0.0218591         	1.6844383735e+05
0.0219049         	1.6908445634e+05
0.0219507         	1.6972558234e+05
0.0219964         	1.7037238912e+05
0.0220422         	1.7102616486e+05
0.022088          	1.7168887187e+05
0.0221338         	1.7235977145e+05
0.0221796         	1.7303904101e+05
0.0222253         	1.7372036406e+05
0.0222711         	1.7440048327e+05
0.0223169         	1.7507881236e+05
0.0223627         	1.7575497978e+05
0.0224084         	1.7642524300e+05
0.0224542         	1.7708946297e+05
0.0225            	1.7775924131e+05
0.0225417         	1.7836487264e+05
0.0225833         	1.7896212246e+05
0.022625          	1.7955190141e+05
0.0226667         	1.8013394113e+05
0.0227083         	1.8070697135e+05
0.02275           	1.8127190573e+05
0.0227909         	1.8181411270e+05
0.0228318         	1.8235088553e+05
0.0228727         	1.8288536608e+05
