# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0175012         	1.6542353699e+05
0.0175026         	1.6542316692e+05
0.0175044         	1.6542316953e+05
0.0175064         	1.6542333488e+05
0.0175089         	1.6542359839e+05
0.0175119         	1.6542395267e+05
0.0175155         	1.6542440426e+05
0.0175198         	1.6542497738e+05
0.017525          	1.6542569635e+05
0.0175312         	1.6542660381e+05
0.0175386         	1.6542777072e+05
0.0175475         	1.6542920926e+05
0.0175582         	1.6543053500e+05
0.0175711         	1.6543180678e+05
0.0175865         	1.6543271079e+05
0.0176049         	1.6543273295e+05
0.0176271         	1.6543109758e+05
0.0176537         	1.6542696837e+05
0.0176859         	1.6542009795e+05
0.0177244         	1.6541151019e+05
0.01777           	1.6540324021e+05
0.0178218         	1.6539679915e+05
0.0178763         	1.6539258693e+05
0.0179268         	1.6539062167e+05
0.017975          	1.6539068805e+05
0.0180211         	1.6539154552e+05
0.018066          	1.6539239388e+05
0.018111          	1.6539286446e+05
0.018156          	1.6539320167e+05
0.0181999         	1.6539368789e+05
0.0182438         	1.6539307246e+05
0.0182877         	1.6539106412e+05
0.0183328         	1.6538731753e+05
0.0183778         	1.6538175162e+05
0.0184229         	1.6537411717e+05
0.018468          	1.6536445007e+05
0.018513          	1.6535263517e+05
0.0185581         	1.6533819287e+05
0.0186031         	1.6532130322e+05
0.0186482         	1.6530120984e+05
0.0186933         	1.6527752472e+05
0.0187383         	1.6525039301e+05
0.0187834         	1.6522056005e+05
0.0188284         	1.6518760806e+05
0.0188735         	1.6515100259e+05
0.0189186         	1.6511059373e+05
0.0189636         	1.6506649736e+05
0.0190087         	1.6501859378e+05
0.0190537         	1.6496665418e+05
0.0190988         	1.6491056291e+05
0.0191439         	1.6485044463e+05
0.0191889         	1.6478639757e+05
0.019234          	1.6471840042e+05
0.019279          	1.6464662372e+05
0.0193241         	1.6457093178e+05
0.0193692         	1.6449070412e+05
0.0194142         	1.6440565633e+05
0.0194593         	1.6431654117e+05
0.0195043         	1.6422353230e+05
0.0195494         	1.6412728262e+05
0.0195945         	1.6403508686e+05
0.0196395         	1.6396036924e+05
0.0196846         	1.6391561927e+05
0.0197296         	1.6389904049e+05
0.0197747         	1.6389961474e+05
0.0198198         	1.6390865717e+05
0.0198648         	1.6392244588e+05
0.0199099         	1.6394012453e+05
0.0199549         	1.6396222273e+05
0.02              	1.6398889730e+05
0.0200481         	1.6402250448e+05
0.0200952         	1.6406313360e+05
0.0201424         	1.6411233512e+05
0.0201895         	1.6417122691e+05
0.0202367         	1.6424104009e+05
0.0202838         	1.6432303047e+05
0.020331          	1.6441876666e+05
0.0203781         	1.6453000840e+05
0.0204253         	1.6465811004e+05
0.0204724         	1.6480403208e+05
0.0205196         	1.6496942114e+05
0.0205668         	1.6515488822e+05
0.0206139         	1.6536012371e+05
