# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0238942         	1.9983718510e+05
0.0239385         	2.0030544059e+05
0.0239827         	2.0076700327e+05
0.0240289         	2.0123270105e+05
0.0240752         	2.0168482034e+05
0.0241214         	2.0212542473e+05
0.0241676         	2.0255311145e+05
0.0242139         	2.0297710265e+05
0.0242601         	2.0339603007e+05
0.0243064         	2.0380503667e+05
0.0243526         	2.0420372719e+05
0.0244024         	2.0461428197e+05
0.0244484         	2.0498335506e+05
0.0244985         	2.0537121379e+05
0.0245487         	2.0573760092e+05
0.0245988         	2.0609232329e+05
0.024649          	2.0643552087e+05
0.0246991         	2.0676027548e+05
0.0247493         	2.0707456063e+05
0.0247994         	2.0738211262e+05
0.0248496         	2.0767133580e+05
0.0248997         	2.0793742887e+05
0.0249499         	2.0818790996e+05
0.025             	2.0842267892e+05
0.0250481         	2.0864420593e+05
0.0250962         	2.0884732964e+05
0.0251442         	2.0903120409e+05
0.0251923         	2.0920604953e+05
0.0252414         	2.0937179093e+05
0.0252905         	2.0952930930e+05
0.0253385         	2.0967770624e+05
0.0253866         	2.0981669253e+05
0.0254346         	2.0994305466e+05
0.0254826         	2.1006136347e+05
0.0255307         	2.1017017143e+05
0.0255776         	2.1026328836e+05
0.0256244         	2.1034249391e+05
0.0256713         	2.1041001232e+05
0.0257182         	2.1046693416e+05
0.0257651         	2.1051779259e+05
0.0258108         	2.1056678651e+05
0.0258564         	2.1060957790e+05
0.0259021         	2.1064657282e+05
0.0259477         	2.1067744955e+05
0.0259934         	2.1070260063e+05
0.026039          	2.1072185293e+05
0.0260847         	2.1073917273e+05
0.0261304         	2.1074923587e+05
0.0261745         	2.1075290202e+05
0.0262187         	2.1075283558e+05
0.0262629         	2.1074894108e+05
0.0263071         	2.1074157921e+05
0.0263513         	2.1073150947e+05
0.0263954         	2.1071748954e+05
0.0264396         	2.1070233009e+05
0.0264838         	2.1068559567e+05
0.026528          	2.1066844691e+05
0.0265722         	2.1065131210e+05
0.0266164         	2.1063356187e+05
0.0266605         	2.1061578170e+05
0.0267047         	2.1059896668e+05
0.0267489         	2.1058372125e+05
0.0267931         	2.1057082891e+05
0.0268373         	2.1056086714e+05
0.0268814         	2.1055065789e+05
0.0269256         	2.1053912442e+05
0.0269698         	2.1052765165e+05
0.027014          	2.1051627556e+05
0.0270582         	2.1050673581e+05
0.0271024         	2.1049932561e+05
0.0271465         	2.1049396515e+05
0.0271907         	2.1048727283e+05
0.0272349         	2.1048081172e+05
0.0272791         	2.1047405454e+05
0.0273233         	2.1046676481e+05
0.0273675         	2.1045904770e+05
0.0274116         	2.1045250973e+05
0.0274558         	2.1044654509e+05
0.0275            	2.1043861744e+05
0.0275391         	2.1043402544e+05
0.0275781         	2.1042804433e+05
0.0276178         	2.1041919197e+05
0.0276575         	2.1041098091e+05
0.0276972         	2.1040212819e+05
0.0277363         	2.1039363393e+05
0.0277753         	2.1038722524e+05
0.0278137         	2.1038001259e+05
0.027852          	2.1037424564e+05
0.0278897         	2.1036809160e+05
0.0279274         	2.1036437368e+05
0.0279644         	2.1036339459e+05
0.0280014         	2.1036388429e+05
0.0280384         	2.1036254082e+05
0.0280747         	2.1036294284e+05
0.0281111         	2.1036859348e+05
0.0281474         	2.1037746723e+05
0.0281837         	2.1038842447e+05
0.02822           	2.1040394279e+05
0.0282556         	2.1042450947e+05
0.0282912         	2.1044909050e+05
0.0283268         	2.1047789334e+05
0.0283624         	2.1050786600e+05
0.028398          	2.1054004069e+05
0.0284329         	2.1057902717e+05
0.0284677         	2.1062194735e+05
0.0285017         	2.1066785038e+05
0.0285358         	2.1071646926e+05
0.0285691         	2.1076766651e+05
0.0286023         	2.1082188507e+05
0.0286356         	2.1087910797e+05
0.0286689         	2.1093864838e+05
0.0287014         	2.1100062647e+05
0.028733          	2.1106379070e+05
0.0287647         	2.1112714424e+05
0.0287956         	2.1119499455e+05
0.0288265         	2.1126424756e+05
0.0288574         	2.1133432564e+05
0.0288874         	2.1140369507e+05
0.0289175         	2.1147417856e+05
0.0289476         	2.1154657658e+05
0.0289768         	2.1161944531e+05
0.029006          	2.1169293315e+05
0.0290336         	2.1176559424e+05
0.0290613         	2.1183903110e+05
0.0290889         	2.1191153006e+05
0.0291157         	2.1198205931e+05
0.0291425         	2.1205046712e+05
0.0291684         	2.1211789312e+05
0.0291953         	2.1218509346e+05
0.0292212         	2.1224974204e+05
0.0292472         	2.1231386096e+05
0.0292723         	2.1237636833e+05
0.0292974         	2.1243691619e+05
0.0293225         	2.1249635974e+05
0.0293476         	2.1255261821e+05
0.0293727         	2.1260758555e+05
0.0293968         	2.1266051986e+05
0.0294209         	2.1271261080e+05
0.029445          	2.1276258769e+05
0.0294692         	2.1281054450e+05
0.0294933         	2.1285752046e+05
0.0295174         	2.1290312807e+05
0.0295416         	2.1294731505e+05
0.029567          	2.1298860044e+05
0.0295925         	2.1302498723e+05
