# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.00503676        	1.0133324276e+05
0.00507353        	1.0134157134e+05
0.00510975        	1.0135026160e+05
0.00514596        	1.0135943728e+05
0.00518218        	1.0136911025e+05
0.00521839        	1.0137928914e+05
0.00525461        	1.0138997829e+05
0.00529083        	1.0140118290e+05
0.00532704        	1.0141291285e+05
0.00536326        	1.0142516569e+05
0.00539947        	1.0143795364e+05
0.00543569        	1.0145129115e+05
0.00547191        	1.0146518340e+05
0.00550812        	1.0147963115e+05
0.00554434        	1.0149463473e+05
0.00558055        	1.0151020312e+05
0.00561677        	1.0152634216e+05
0.00565299        	1.0154306250e+05
0.0056892         	1.0156037212e+05
0.00572542        	1.0157827180e+05
0.00576091        	1.0159640896e+05
0.0057964         	1.0161513916e+05
0.00583189        	1.0163447442e+05
0.00586738        	1.0165442151e+05
0.00590288        	1.0167498178e+05
0.00593837        	1.0169617576e+05
0.00597386        	1.0171801462e+05
0.00600935        	1.0174050793e+05
0.00604402        	1.0176312015e+05
0.00607868        	1.0178637169e+05
0.00611335        	1.0181026937e+05
0.00614802        	1.0183482524e+05
0.00618268        	1.0186005029e+05
0.00621735        	1.0188595061e+05
0.00625201        	1.0191254602e+05
0.00628668        	1.0193983447e+05
0.00632135        	1.0196782638e+05
0.00635601        	1.0199652668e+05
0.00639068        	1.0202594805e+05
0.00642535        	1.0205609724e+05
0.00646001        	1.0208697876e+05
0.00649468        	1.0211859866e+05
0.00652934        	1.0215096312e+05
0.00656401        	1.0218407690e+05
0.00659868        	1.0221794084e+05
0.00663334        	1.0225255909e+05
0.00666801        	1.0228792919e+05
0.00670268        	1.0232404550e+05
0.00673734        	1.0236090579e+05
0.00677201        	1.0239851502e+05
0.00680667        	1.0243687110e+05
0.00684134        	1.0247598450e+05
0.00687601        	1.0251584996e+05
0.00691067        	1.0255645308e+05
0.00694534        	1.0259778341e+05
0.00698001        	1.0263984430e+05
0.00701467        	1.0268262447e+05
0.00704934        	1.0272610515e+05
0.007084          	1.0277026205e+05
0.00711867        	1.0281510274e+05
0.00715334        	1.0286062896e+05
0.007188          	1.0290685244e+05
0.00722267        	1.0295377688e+05
0.00725734        	1.0300138493e+05
0.007292          	1.0304967333e+05
0.00732667        	1.0309863667e+05
0.00736133        	1.0314830381e+05
0.007396          	1.0319866682e+05
0.00743067        	1.0324972834e+05
0.00746533        	1.0330146572e+05
0.0075            	1.0335388866e+05
0.00753731        	1.0341107123e+05
0.00757463        	1.0346905320e+05
0.00761194        	1.0352783057e+05
0.00764925        	1.0358736396e+05
0.00768657        	1.0364767056e+05
0.00772388        	1.0370879473e+05
0.00776119        	1.0377072749e+05
0.00779851        	1.0383347543e+05
0.00783582        	1.0389706947e+05
0.00787313        	1.0396149703e+05
0.00791111        	1.0402794945e+05
0.00794909        	1.0409527020e+05
0.00798707        	1.0416348651e+05
0.00802505        	1.0423260003e+05
0.00806303        	1.0430262188e+05
0.00810101        	1.0437354470e+05
0.00813977        	1.0444686598e+05
0.00817852        	1.0452117185e+05
0.00821728        	1.0459645127e+05
0.00825603        	1.0467270360e+05
0.00829479        	1.0474994539e+05
